EventIndex,StartTime,EndTime,Duration,NumOfCells,CellIndex,CentroidX,CentroidY
1,45,59,15,5,5,372.378,57.652
1,45,59,15,5,18,363.875,109.695
1,45,59,15,5,19,261.616,107.545
1,45,59,15,5,26,141.765,140.002
1,45,59,15,5,27,348.489,138.31
2,62,78,17,22,76,530.393,334.854
2,62,78,17,22,87,452.271,372.005
2,62,78,17,22,92,511.134,391.233
2,62,78,17,22,94,416.978,402.703
2,62,78,17,22,116,354.645,470.553
2,62,78,17,22,128,381.266,520.941
2,62,78,17,22,132,624.046,522.627
2,62,78,17,22,135,339.959,524.498
2,62,78,17,22,137,526.821,526.075
2,62,78,17,22,138,158.129,537.34
2,62,78,17,22,143,568.011,552.491
2,62,78,17,22,144,609.891,541.642
2,62,78,17,22,145,94.234,545.327
2,62,78,17,22,149,497.114,546.136
2,62,78,17,22,154,486.392,553.295
2,62,78,17,22,173,308.002,596.723
2,62,78,17,22,175,386.247,596.872
2,62,78,17,22,179,468.92,604.767
2,62,78,17,22,183,433.633,616.636
2,62,78,17,22,188,414.996,621.996
2,62,78,17,22,304,566.048,409.067
2,62,78,17,22,314,562.477,480.095
3,172,179,8,21,17,130.463,106.323
3,172,179,8,21,38,623.078,182.502
3,172,179,8,21,75,455.054,340.296
3,172,179,8,21,110,435.142,460.746
3,172,179,8,21,114,342.433,459.726
3,172,179,8,21,131,512.877,515.5
3,172,179,8,21,140,304.311,545.509
3,172,179,8,21,148,550.014,543.525
3,172,179,8,21,160,189.067,569.273
3,172,179,8,21,169,406.107,587.512
3,172,179,8,21,177,617.824,606.83
3,172,179,8,21,190,214.953,623.736
3,172,179,8,21,199,615.659,626.065
3,172,179,8,21,200,488.924,531.325
3,172,179,8,21,202,608.157,490.979
3,172,179,8,21,217,602.096,173.432
3,172,179,8,21,221,565.959,247.879
3,172,179,8,21,224,503.949,239.619
3,172,179,8,21,262,286.756,355.159
3,172,179,8,21,304,566.048,409.067
3,172,179,8,21,309,265.127,436.816
4,181,219,39,5,17,130.463,106.323
4,181,219,39,5,22,107.994,132.43
4,181,219,39,5,41,191.594,201.782
4,181,219,39,5,49,83.933,235.433
4,181,219,39,5,214,241.438,51.727
5,225,239,15,8,22,107.994,132.43
5,225,239,15,8,24,130.654,131.992
5,225,239,15,8,101,146.118,413.567
5,225,239,15,8,117,186.94,475.2
5,225,239,15,8,278,195.763,332.576
5,225,239,15,8,279,188.669,354.208
5,225,239,15,8,280,177.354,357.462
5,225,239,15,8,285,142.991,359.186
6,241,249,9,23,15,313.11,95.051
6,241,249,9,23,20,461.872,114.423
6,241,249,9,23,30,516.594,146.615
6,241,249,9,23,48,586.11,239.166
6,241,249,9,23,73,82.483,321.521
6,241,249,9,23,79,249.329,346.037
6,241,249,9,23,85,346.658,368.641
6,241,249,9,23,102,598.1,429.88
6,241,249,9,23,127,565.669,505.201
6,241,249,9,23,148,550.014,543.525
6,241,249,9,23,152,407.363,549.896
6,241,249,9,23,153,465.507,570.209
6,241,249,9,23,161,493.655,566.294
6,241,249,9,23,166,332.663,586.265
